"id","tipo","dependiente","nombre","obj_valoracion_id:id","field_ids"
"coherencia_valida","radio","FALSE","1. Coherencia Valida:","val_general","Descripción del proyecto,Nombre del proyecto "
"no_valido_chorencia","radio","TRUE","1.1. No Valido Coherencia:","val_general","Descripción del proyecto,Nombre del proyecto "
"politica_valida","radio","FALSE","2. Política Valida:","val_general","Descripción del proyecto,Nombre del proyecto "
"no_valida_politica","radio","TRUE","2.1. No Valido Política","val_general","Descripción del proyecto,Nombre del proyecto "
"concord_clasif_valida","radio","FALSE","3. Concordancia en Clasificación Valida:","val_general","Categoría,Subcategoría,Tipo de sector"
"no_valido_concord_clasif","radio","TRUE","3.1. No Valido Concordancia en Clasificación","val_general","Categoría,Subcategoría,Tipo de sector"
"concord_caract_valida","radio","FALSE","4. Concordancia en Características Valida:","val_general","Tipo de Obra"
"no_valido_concord_caract","radio","TRUE","4.1. No Valido Concordancia en Características","val_general","Tipo de Obra"
"aval_aval","radio","FALSE","5. Aval:","val_general","Aval"
"identifica_ente_avalador","radio","TRUE","5.1 Identifica el ente avalador (membrete con el nombre del órgano avalador y con competencia total en el Proyecto)","val_general","Aval"
"firma_sello_avalador","radio","TRUE","5.2 Firma y sello del avalador","val_general","Aval"
"fecha_emision_aval","radio","TRUE","5.3 Fecha de emisión del aval","val_general","Aval"
"ente_competente","radio","TRUE","5.4 Ente competente:","val_general","Aval"
"identifica_nombre_proyecto","radio","TRUE","5.5 Identifica el nombre del proyecto","val_general","Aval"
"aval_refiere_tramite_administ","radio","TRUE","5.6 El aval se refiere a un tramite administrativo","val_general","Aval"
"aval_ref_ejecu_fisica","radio","TRUE","5.7 El aval se refiere a una ejecución física","val_general","Aval"
"exp_disp_aval_proyecto","radio","TRUE","5.8 Expresa disposición para avalar el proyecto","val_general","Aval"
"coord_plausible","radio","FALSE","6. Coordenada Plausible:","val_coordnadas","Coordenadas Este Inicio,Coordenadas Este Final,Coordenadas Norte Inicio,Coordenadas Norte Final,Huso Final,Huso Inicial"
"coordenada_plausible_ure","radio","FALSE","6. Coordenada Plausible:","val_coord_ures","Coordenadas Este Inicio,Coordenadas Este Final,Coordenadas Norte Inicio,Coordenadas Norte Final,Huso Final,Huso Inicial"
"no_valido_coordenada","radio","TRUE","6.1. No Valido Coordenada:","val_coordnadas","Coordenadas Este Inicio,Coordenadas Este Final,Coordenadas Norte Inicio,Coordenadas Norte Final,Huso Final,Huso Inicial"
"no_valida_coordenada_ure","radio","TRUE","6.1. No Valido Coordenada:","val_coord_ures","Coordenadas Este Inicio,Coordenadas Este Final,Coordenadas Norte Inicio,Coordenadas Norte Final,Huso Final,Huso Inicial"
"ubicacion_politica_plausible","radio","FALSE","7. Ubicación Política Plausible","val_general","Estado,Municipio,Parroquia"
